Volatility 3 Framework 2.5.2

PID	Process	Base	Size	Name	Path	LoadTime	File output

348	smss.exe	0x7ff7d9630000	0x28000	smss.exe	\SystemRoot\System32\smss.exe	2024-02-16 11:58:56.000000 	Disabled
348	smss.exe	0x7ff9f2eb0000	0x1f8000	ntdll.dll	C:\Windows\SYSTEM32\ntdll.dll	2024-02-16 11:58:56.000000 	Disabled
480	csrss.exe	0x7ff61d4d0000	0x7000	csrss.exe	C:\Windows\system32\csrss.exe	2024-02-16 11:59:09.000000 	Disabled
480	csrss.exe	0x7ff9f2eb0000	0x1f8000	ntdll.dll	C:\Windows\SYSTEM32\ntdll.dll	2024-02-16 11:59:09.000000 	Disabled
480	csrss.exe	0x7ff9f0550000	0x18000	CSRSRV.dll	C:\Windows\SYSTEM32\CSRSRV.dll	2024-02-16 11:59:09.000000 	Disabled
480	csrss.exe	0x7ff9f0530000	0x16000	basesrv.DLL	C:\Windows\system32\basesrv.DLL	2024-02-16 11:59:09.000000 	Disabled
480	csrss.exe	0x7ff9f0510000	0x15000	winsrv.DLL	C:\Windows\system32\winsrv.DLL	2024-02-16 11:59:09.000000 	Disabled
480	csrss.exe	0x7ff9f0570000	0x2f6000	kernelbase.dll	C:\Windows\SYSTEM32\kernelbase.dll	2024-02-16 11:59:09.000000 	Disabled
480	csrss.exe	0x7ff9f19d0000	0xbd000	kernel32.dll	C:\Windows\SYSTEM32\kernel32.dll	2024-02-16 11:59:09.000000 	Disabled
480	csrss.exe	0x7ff9f04e0000	0x23000	winsrvext.dll	C:\Windows\SYSTEM32\winsrvext.dll	2024-02-16 11:59:09.000000 	Disabled
480	csrss.exe	0x7ff9f2100000	0x19e000	USER32.dll	C:\Windows\system32\USER32.dll	2024-02-16 11:59:09.000000 	Disabled
480	csrss.exe	0x7ff9f0ef0000	0x354000	combase.dll	C:\Windows\SYSTEM32\combase.dll	2024-02-16 11:59:09.000000 	Disabled
480	csrss.exe	0x7ff9f0cd0000	0x4e000	cfgmgr32.dll	C:\Windows\SYSTEM32\cfgmgr32.dll	2024-02-16 11:59:09.000000 	Disabled
480	csrss.exe	0x7ff9f2c30000	0x2b000	GDI32.dll	C:\Windows\system32\GDI32.dll	2024-02-16 11:59:09.000000 	Disabled
480	csrss.exe	0x7ff9f0e90000	0x22000	win32u.dll	C:\Windows\system32\win32u.dll	2024-02-16 11:59:09.000000 	Disabled
480	csrss.exe	0x7ff9f0d20000	0x100000	ucrtbase.dll	C:\Windows\SYSTEM32\ucrtbase.dll	2024-02-16 11:59:09.000000 	Disabled
480	csrss.exe	0x7ff9f1250000	0x126000	RPCRT4.dll	C:\Windows\system32\RPCRT4.dll	2024-02-16 11:59:09.000000 	Disabled
480	csrss.exe	0x7ff9f0920000	0x117000	gdi32full.dll	C:\Windows\SYSTEM32\gdi32full.dll	2024-02-16 11:59:09.000000 	Disabled
480	csrss.exe	0x7ff9f0a40000	0x9d000	msvcp_win.dll	C:\Windows\system32\msvcp_win.dll	2024-02-16 11:59:09.000000 	Disabled
480	csrss.exe	0x7ff9f04d0000	0xd000	sxssrv.DLL	C:\Windows\system32\sxssrv.DLL	2024-02-16 11:59:10.000000 	Disabled
480	csrss.exe	0x7ff9f0370000	0xa2000	sxs.dll	C:\Windows\system32\sxs.dll	2024-02-16 11:59:10.000000 	Disabled
480	csrss.exe	0x7ff9f0ae0000	0x82000	bcryptPrimitives.dll	C:\Windows\SYSTEM32\bcryptPrimitives.dll	2024-02-16 11:59:10.000000 	Disabled
628	wininit.exe	0x7ff72d0d0000	0x6a000	wininit.exe	C:\Windows\system32\wininit.exe	2024-02-16 11:59:10.000000 	Disabled
628	wininit.exe	0x7ff9f2eb0000	0x1f8000	ntdll.dll	C:\Windows\SYSTEM32\ntdll.dll	2024-02-16 11:59:10.000000 	Disabled
628	wininit.exe	0x7ff9f19d0000	0xbd000	KERNEL32.DLL	C:\Windows\SYSTEM32\KERNEL32.DLL	2024-02-16 11:59:10.000000 	Disabled
628	wininit.exe	0x7ff9f0570000	0x2f6000	KERNELBASE.dll	C:\Windows\SYSTEM32\KERNELBASE.dll	2024-02-16 11:59:10.000000 	Disabled
628	wininit.exe	0x7ff9f0d20000	0x100000	ucrtbase.dll	C:\Windows\SYSTEM32\ucrtbase.dll	2024-02-16 11:59:10.000000 	Disabled
628	wininit.exe	0x7ff9f1250000	0x126000	RPCRT4.dll	C:\Windows\system32\RPCRT4.dll	2024-02-16 11:59:10.000000 	Disabled
628	wininit.exe	0x7ff9f1380000	0x9f000	sechost.dll	C:\Windows\SYSTEM32\sechost.dll	2024-02-16 11:59:10.000000 	Disabled
628	wininit.exe	0x7ff9f04a0000	0x25000	profapi.dll	C:\Windows\system32\profapi.dll	2024-02-16 11:59:10.000000 	Disabled
628	wininit.exe	0x7ff9f0ec0000	0x27000	bcrypt.dll	C:\Windows\SYSTEM32\bcrypt.dll	2024-02-16 11:59:10.000000 	Disabled
628	wininit.exe	0x7ff9f0490000	0xe000	wininitext.dll	C:\Windows\SYSTEM32\wininitext.dll	2024-02-16 11:59:10.000000 	Disabled
