Volatility 3 Framework 2.5.2

PID	PPID	ImageFileName	Offset(V)	Threads	Handles	SessionId	Wow64	CreateTime	ExitTime	File output

4	0	System	0x9e8996c7c040	133	-	N/A	False	2024-02-16 11:58:54.000000 	N/A	Disabled
92	4	Registry	0x9e8996d15080	4	-	N/A	False	2024-02-16 11:58:49.000000 	N/A	Disabled
348	4	smss.exe	0x9e8998974040	2	-	N/A	False	2024-02-16 11:58:54.000000 	N/A	Disabled
480	472	csrss.exe	0x9e899b81a080	11	-	0	False	2024-02-16 11:59:09.000000 	N/A	Disabled
628	472	wininit.exe	0x9e899c404080	1	-	0	False	2024-02-16 11:59:10.000000 	N/A	Disabled
640	620	csrss.exe	0x9e899b9e1180	13	-	1	False	2024-02-16 11:59:10.000000 	N/A	Disabled
696	628	services.exe	0x9e899c4391c0	6	-	0	False	2024-02-16 11:59:10.000000 	N/A	Disabled
712	628	lsass.exe	0x9e899c4410c0	9	-	0	False	2024-02-16 11:59:10.000000 	N/A	Disabled
800	696	svchost.exe	0x9e899c4bf240	14	-	0	False	2024-02-16 11:59:10.000000 	N/A	Disabled
816	628	fontdrvhost.ex	0x9e899c4f2340	5	-	0	False	2024-02-16 11:59:10.000000 	N/A	Disabled
896	696	svchost.exe	0x9e899c5622c0	10	-	0	False	2024-02-16 11:59:11.000000 	N/A	Disabled
948	696	svchost.exe	0x9e899c5a9240	5	-	0	False	2024-02-16 11:59:11.000000 	N/A	Disabled
1008	620	winlogon.exe	0x9e899c5f5080	4	-	1	False	2024-02-16 11:59:11.000000 	N/A	Disabled
288	1008	fontdrvhost.ex	0x9e899cc14140	5	-	1	False	2024-02-16 11:59:11.000000 	N/A	Disabled
532	1008	dwm.exe	0x9e899cc57080	15	-	1	False	2024-02-16 11:59:11.000000 	N/A	Disabled
624	696	svchost.exe	0x9e899cc8b080	6	-	0	False	2024-02-16 11:59:11.000000 	N/A	Disabled
692	696	svchost.exe	0x9e899ccb92c0	2	-	0	False	2024-02-16 11:59:11.000000 	N/A	Disabled
1096	696	svchost.exe	0x9e899cce3300	7	-	0	False	2024-02-16 11:59:11.000000 	N/A	Disabled
1116	696	svchost.exe	0x9e899cced0c0	5	-	0	False	2024-02-16 11:59:11.000000 	N/A	Disabled
1124	696	svchost.exe	0x9e899ccf8080	1	-	0	False	2024-02-16 11:59:11.000000 	N/A	Disabled
1232	696	svchost.exe	0x9e899bdfa080	1	-	0	False	2024-02-16 11:59:12.000000 	N/A	Disabled
1240	696	svchost.exe	0x9e899cd87080	6	-	0	False	2024-02-16 11:59:12.000000 	N/A	Disabled
1272	696	svchost.exe	0x9e899cd88080	11	-	0	False	2024-02-16 11:59:12.000000 	N/A	Disabled
1280	696	svchost.exe	0x9e899cd8b280	6	-	0	False	2024-02-16 11:59:12.000000 	N/A	Disabled
1360	696	svchost.exe	0x9e899cdab240	2	-	0	False	2024-02-16 11:59:12.000000 	N/A	Disabled
1380	696	svchost.exe	0x9e899cdaf2c0	2	-	0	False	2024-02-16 11:59:12.000000 	N/A	Disabled
1608	696	svchost.exe	0x9e899ce88080	7	-	0	False	2024-02-16 11:59:12.000000 	N/A	Disabled
1652	696	svchost.exe	0x9e899ce8d300	5	-	0	False	2024-02-16 11:59:12.000000 	N/A	Disabled
1668	696	svchost.exe	0x9e899ce90080	2	-	0	False	2024-02-16 11:59:12.000000 	N/A	Disabled
1744	696	svchost.exe	0x9e899cec5240	8	-	0	False	2024-02-16 11:59:12.000000 	N/A	Disabled
1756	696	svchost.exe	0x9e899cf61240	3	-	0	False	2024-02-16 11:59:12.000000 	N/A	Disabled
1860	696	svchost.exe	0x9e899cebf2c0	6	-	0	False	2024-02-16 11:59:12.000000 	N/A	Disabled
1872	696	svchost.exe	0x9e8996d6b080	5	-	0	False	2024-02-16 11:59:12.000000 	N/A	Disabled
1888	696	svchost.exe	0x9e8996d53080	6	-	0	False	2024-02-16 11:59:12.000000 	N/A	Disabled
1908	696	svchost.exe	0x9e8996d47080	2	-	0	False	2024-02-16 11:59:12.000000 	N/A	Disabled
1976	4	MemCompression	0x9e8996db3040	34	-	N/A	False	2024-02-16 11:59:12.000000 	N/A	Disabled
2020	696	svchost.exe	0x9e899d0321c0	3	-	0	False	2024-02-16 11:59:13.000000 	N/A	Disabled
1708	696	svchost.exe	0x9e8996d66080	9	-	0	False	2024-02-16 11:59:13.000000 	N/A	Disabled
2060	696	igfxCUIService	0x9e8996cec080	4	-	0	False	2024-02-16 11:59:13.000000 	N/A	Disabled
2108	696	svchost.exe	0x9e8996c86080	2	-	0	False	2024-02-16 11:59:13.000000 	N/A	Disabled
2116	696	svchost.exe	0x9e8996c84080	4	-	0	False	2024-02-16 11:59:13.000000 	N/A	Disabled
2216	696	svchost.exe	0x9e899d079340	12	-	0	False	2024-02-16 11:59:13.000000 	N/A	Disabled
2308	696	svchost.exe	0x9e899d1302c0	8	-	0	False	2024-02-16 11:59:13.000000 	N/A	Disabled
2452	696	svchost.exe	0x9e899d1c4300	7	-	0	False	2024-02-16 11:59:14.000000 	N/A	Disabled
