Name                                                  Pid   PPid   Thds   Hnds Time
-------------------------------------------------- ------ ------ ------ ------ ----
 0xffff9e899c404080:wininit.exe                       628    472      1      0 2024-02-16 11:59:10 UTC+0000
. 0xffff9e899c4391c0:services.exe                     696    628      6      0 2024-02-16 11:59:10 UTC+0000
.. 0xffff9e899d251300:svchost.exe                    2568    696      5      0 2024-02-16 11:59:14 UTC+0000
.. 0xffff9e899d74c340:MsMpEng.exe                    3444    696     11      0 2024-02-16 11:59:15 UTC+0000
.. 0xffff9e8996cec080:igfxCUIService                 2060    696      4      0 2024-02-16 11:59:13 UTC+0000
.. 0xffff9e899e39d080:svchost.exe                    6488    696      5      0 2024-02-16 11:59:54 UTC+0000
.. 0xffff9e899dd8e280:svchost.exe                    3608    696     10      0 2024-02-16 11:59:31 UTC+0000
.. 0xffff9e899d1302c0:svchost.exe                    2308    696      8      0 2024-02-16 11:59:13 UTC+0000
.. 0xffff9e899f0fb080:svchost.exe                    8372    696      4      0 2024-02-16 12:24:42 UTC+0000
.. 0xffff9e899d76e240:svchost.exe                    3620    696      6      0 2024-02-16 11:59:16 UTC+0000
.. 0xffff9e899d60d300:svchost.exe                    3128    696      7      0 2024-02-16 11:59:15 UTC+0000
.. 0xffff9e899ccb92c0:svchost.exe                     692    696      2      0 2024-02-16 11:59:11 UTC+0000
.. 0xffff9e8996c86080:svchost.exe                    2108    696      2      0 2024-02-16 11:59:13 UTC+0000
.. 0xffff9e899d6020c0:svchost.exe                    3136    696     10      0 2024-02-16 11:59:15 UTC+0000
... 0xffff9e899d922080:AggregatorHost                3868   3136      1      0 2024-02-16 11:59:20 UTC+0000
.. 0xffff9e899db1b300:svchost.exe                    4704    696      6      0 2024-02-16 11:59:29 UTC+0000
.. 0xffff9e8996c84080:svchost.exe                    2116    696      4      0 2024-02-16 11:59:13 UTC+0000
.. 0xffff9e899ce88080:svchost.exe                    1608    696      7      0 2024-02-16 11:59:12 UTC+0000
... 0xffff9e899db0d080:sihost.exe                    4608   1608     13      0 2024-02-16 11:59:29 UTC+0000
.. 0xffff9e899dd902c0:svchost.exe                    4776    696      7      0 2024-02-16 11:59:31 UTC+0000
.. 0xffff9e899d6482c0:svchost.exe                    3156    696     15      0 2024-02-16 11:59:15 UTC+0000
.. 0xffff9e899ccf8080:svchost.exe                    1124    696      1      0 2024-02-16 11:59:11 UTC+0000
.. 0xffff9e899cced0c0:svchost.exe                    1116    696      5      0 2024-02-16 11:59:11 UTC+0000
.. 0xffff9e8998b06280:svchost.exe                    2656    696     14      0 2024-02-16 11:59:14 UTC+0000
.. 0xffff9e899e1a8080:svchost.exe                    2156    696      4      0 2024-02-16 12:24:38 UTC+0000
.. 0xffff9e899cc8b080:svchost.exe                     624    696      6      0 2024-02-16 11:59:11 UTC+0000
.. 0xffff9e899d6900c0:dynabookHDDPro                 3188    696      3      0 2024-02-16 11:59:15 UTC+0000
.. 0xffff9e899f0f9340:svchost.exe                    2084    696      1      0 2024-02-16 12:03:33 UTC+0000
.. 0xffff9e899ce90080:svchost.exe                    1668    696      2      0 2024-02-16 11:59:12 UTC+0000
.. 0xffff9e89985be340:svchost.exe                    7304    696      8      0 2024-02-16 12:01:21 UTC+0000
.. 0xffff9e899bdfa080:svchost.exe                    1232    696      1      0 2024-02-16 11:59:12 UTC+0000
.. 0xffff9e899eb64080:svchost.exe                    7796    696      2      0 2024-02-16 12:24:41 UTC+0000
.. 0xffff9e899d811240:svchost.exe                    3732    696     11      0 2024-02-16 11:59:16 UTC+0000
.. 0xffff9e899cce3300:svchost.exe                    1096    696      7      0 2024-02-16 11:59:11 UTC+0000
.. 0xffff9e899d2e1240:svchost.exe                    2720    696      3      0 2024-02-16 11:59:14 UTC+0000
.. 0xffff9e899d694240:svchost.exe                    3240    696      7      0 2024-02-16 11:59:15 UTC+0000
.. 0xffff9e8996d66080:svchost.exe                    1708    696      9      0 2024-02-16 11:59:13 UTC+0000
.. 0xffff9e899d9c5080:svchost.exe                    8136    696     10      0 2024-02-16 12:01:18 UTC+0000
.. 0xffff9e899ce8d300:svchost.exe                    1652    696      5      0 2024-02-16 11:59:12 UTC+0000
.. 0xffff9e899e661080:svchost.exe                    1724    696      5      0 2024-02-16 12:24:40 UTC+0000
.. 0xffff9e899d726080:RMService.exe                  3360    696      8      0 2024-02-16 11:59:15 UTC+0000
.. 0xffff9e899b414300:svchost.exe                    7884    696      2      0 2024-02-16 12:01:22 UTC+0000
.. 0xffff9e899cec5240:svchost.exe                    1744    696      8      0 2024-02-16 11:59:12 UTC+0000
.. 0xffff9e899cd87080:svchost.exe                    1240    696      6      0 2024-02-16 11:59:12 UTC+0000
... 0xffff9e899dcf7300:taskhostw.exe                 4788   1240      8      0 2024-02-16 11:59:29 UTC+0000
... 0xffff9e899dcf8080:MicrosoftEdgeU                4812   1240      3      0 2024-02-16 11:59:29 UTC+0000
.. 0xffff9e899e273280:SecurityHealth                 6948    696     10      0 2024-02-16 11:59:59 UTC+0000
.. 0xffff9e899cf61240:svchost.exe                    1756    696      3      0 2024-02-16 11:59:12 UTC+0000
.. 0xffff9e899d6ee2c0:svchost.exe                    3280    696      1      0 2024-02-16 11:59:15 UTC+0000
.. 0xffff9e899d7230c0:svchost.exe                    3316    696      7      0 2024-02-16 11:59:15 UTC+0000
.. 0xffff9e899cd88080:svchost.exe                    1272    696     11      0 2024-02-16 11:59:12 UTC+0000
.. 0xffff9e899cd8b280:svchost.exe                    1280    696      6      0 2024-02-16 11:59:12 UTC+0000
.. 0xffff9e899d8a0240:SearchIndexer.                 3844    696     15      0 2024-02-16 11:59:16 UTC+0000
... 0xffff9e899f38c340:SearchProtocol                6584   3844      9      0 2024-02-16 12:29:44 UTC+0000
... 0xffff9e899e61c080:SearchFilterHo                8800   3844      6      0 2024-02-16 12:29:45 UTC+0000
.. 0xffff9e899da7e300:svchost.exe                    4360    696      8      0 2024-02-16 11:59:25 UTC+0000
.. 0xffff9e899d35b080:spoolsv.exe                    2832    696      7      0 2024-02-16 11:59:14 UTC+0000
.. 0xffff9e899ebbb0c0:svchost.exe                    6932    696      3      0 2024-02-16 12:01:19 UTC+0000
.. 0xffff9e899d6f3080:DSDFunctionKey                 3352    696      1      0 2024-02-16 11:59:15 UTC+0000
