**************************************************
Session(V): ffff81812519a000 ID: 0 Processes: 90
PagedPoolStart: ffffe74880000000 PagedPoolEnd ffffe7687fffffff
 Process: 480 csrss.exe 2024-02-16 11:59:09 UTC+0000
 Process: 628 wininit.exe 2024-02-16 11:59:10 UTC+0000
 Process: 696 services.exe 2024-02-16 11:59:10 UTC+0000
 Process: 712 lsass.exe 2024-02-16 11:59:10 UTC+0000
 Process: 800 svchost.exe 2024-02-16 11:59:10 UTC+0000
 Process: 816 fontdrvhost.ex 2024-02-16 11:59:10 UTC+0000
 Process: 896 svchost.exe 2024-02-16 11:59:11 UTC+0000
 Process: 948 svchost.exe 2024-02-16 11:59:11 UTC+0000
 Process: 624 svchost.exe 2024-02-16 11:59:11 UTC+0000
 Process: 692 svchost.exe 2024-02-16 11:59:11 UTC+0000
 Process: 1096 svchost.exe 2024-02-16 11:59:11 UTC+0000
 Process: 1116 svchost.exe 2024-02-16 11:59:11 UTC+0000
 Process: 1124 svchost.exe 2024-02-16 11:59:11 UTC+0000
 Process: 1232 svchost.exe 2024-02-16 11:59:12 UTC+0000
 Process: 1240 svchost.exe 2024-02-16 11:59:12 UTC+0000
 Process: 1272 svchost.exe 2024-02-16 11:59:12 UTC+0000
 Process: 1280 svchost.exe 2024-02-16 11:59:12 UTC+0000
 Process: 1360 svchost.exe 2024-02-16 11:59:12 UTC+0000
 Process: 1380 svchost.exe 2024-02-16 11:59:12 UTC+0000
 Process: 1608 svchost.exe 2024-02-16 11:59:12 UTC+0000
 Process: 1652 svchost.exe 2024-02-16 11:59:12 UTC+0000
 Process: 1668 svchost.exe 2024-02-16 11:59:12 UTC+0000
 Process: 1744 svchost.exe 2024-02-16 11:59:12 UTC+0000
 Process: 1756 svchost.exe 2024-02-16 11:59:12 UTC+0000
 Process: 1860 svchost.exe 2024-02-16 11:59:12 UTC+0000
 Process: 1872 svchost.exe 2024-02-16 11:59:12 UTC+0000
 Process: 1888 svchost.exe 2024-02-16 11:59:12 UTC+0000
 Process: 1908 svchost.exe 2024-02-16 11:59:12 UTC+0000
 Process: 2020 svchost.exe 2024-02-16 11:59:13 UTC+0000
 Process: 1708 svchost.exe 2024-02-16 11:59:13 UTC+0000
 Process: 2060 igfxCUIService 2024-02-16 11:59:13 UTC+0000
 Process: 2108 svchost.exe 2024-02-16 11:59:13 UTC+0000
 Process: 2116 svchost.exe 2024-02-16 11:59:13 UTC+0000
 Process: 2216 svchost.exe 2024-02-16 11:59:13 UTC+0000
 Process: 2308 svchost.exe 2024-02-16 11:59:13 UTC+0000
 Process: 2452 svchost.exe 2024-02-16 11:59:14 UTC+0000
 Process: 2460 svchost.exe 2024-02-16 11:59:14 UTC+0000
 Process: 2472 svchost.exe 2024-02-16 11:59:14 UTC+0000
 Process: 2568 svchost.exe 2024-02-16 11:59:14 UTC+0000
 Process: 2656 svchost.exe 2024-02-16 11:59:14 UTC+0000
 Process: 2720 svchost.exe 2024-02-16 11:59:14 UTC+0000
 Process: 2832 spoolsv.exe 2024-02-16 11:59:14 UTC+0000
 Process: 2880 svchost.exe 2024-02-16 11:59:14 UTC+0000
 Process: 2976 svchost.exe 2024-02-16 11:59:15 UTC+0000
 Process: 3036 svchost.exe 2024-02-16 11:59:15 UTC+0000
 Process: 3128 svchost.exe 2024-02-16 11:59:15 UTC+0000
 Process: 3136 svchost.exe 2024-02-16 11:59:15 UTC+0000
 Process: 3144 HidMonitorSvc. 2024-02-16 11:59:15 UTC+0000
 Process: 3156 svchost.exe 2024-02-16 11:59:15 UTC+0000
 Process: 3188 dynabookHDDPro 2024-02-16 11:59:15 UTC+0000
 Process: 3240 svchost.exe 2024-02-16 11:59:15 UTC+0000
 Process: 3280 svchost.exe 2024-02-16 11:59:15 UTC+0000
 Process: 3292 svchost.exe 2024-02-16 11:59:15 UTC+0000
 Process: 3352 DSDFunctionKey 2024-02-16 11:59:15 UTC+0000
 Process: 3316 svchost.exe 2024-02-16 11:59:15 UTC+0000
 Process: 3360 RMService.exe 2024-02-16 11:59:15 UTC+0000
 Process: 3368 dynabookSystem 2024-02-16 11:59:15 UTC+0000
 Process: 3432 svchost.exe 2024-02-16 11:59:15 UTC+0000
 Process: 3444 MsMpEng.exe 2024-02-16 11:59:15 UTC+0000
 Process: 3620 svchost.exe 2024-02-16 11:59:16 UTC+0000
 Process: 3732 svchost.exe 2024-02-16 11:59:16 UTC+0000
 Process: 3844 SearchIndexer. 2024-02-16 11:59:16 UTC+0000
 Process: 3868 AggregatorHost 2024-02-16 11:59:20 UTC+0000
 Process: 4360 svchost.exe 2024-02-16 11:59:25 UTC+0000
 Process: 4812 MicrosoftEdgeU 2024-02-16 11:59:29 UTC+0000
 Process: 4952 svchost.exe 2024-02-16 11:59:30 UTC+0000
 Process: 5024 svchost.exe 2024-02-16 11:59:30 UTC+0000
 Process: 5052 svchost.exe 2024-02-16 11:59:30 UTC+0000
 Process: 3608 svchost.exe 2024-02-16 11:59:31 UTC+0000
 Process: 4776 svchost.exe 2024-02-16 11:59:31 UTC+0000
 Process: 6488 svchost.exe 2024-02-16 11:59:54 UTC+0000
 Process: 6948 SecurityHealth 2024-02-16 11:59:59 UTC+0000
 Process: 6628 GoogleCrashHan 2024-02-16 12:00:24 UTC+0000
 Process: 64 GoogleCrashHan 2024-02-16 12:00:24 UTC+0000
